Date,상권_코드_명,운영_영업_개월_평균,폐업_영업_개월_평균,서울_운영_영업_개월_평균,서울_폐업_영업_개월_평균,상권_변화_지표
2019_1,강남 마이스 관광특구,98,60,104,51,LH
2019_1,잠실 관광특구,93,51,104,51,LH
2019_1,종로·청계 관광특구,144,64,104,51,HH
2019_1,동대문패션타운 관광특구,129,53,104,51,HH
2019_1,명동 남대문 북창동 다동 무교동 관광특구,141,59,104,51,HH
2019_1,이태원 관광특구,115,59,104,51,HH
2019_1,길동복조리시장,111,48,104,51,HL
2019_1,둔촌역전통시장,113,45,104,51,HL
2019_1,성내골목시장,100,46,104,51,LL
2019_1,천호시장,152,64,104,51,HH
2019_1,동서울시장,170,92,104,51,HH
2019_1,고분다리골목시장,97,46,104,51,LL
2019_1,양지골목시장,105,58,104,51,HH
2019_1,암사종합시장,99,52,104,51,LH
2019_1,고덕전통시장,131,60,104,51,HH
2019_1,명일골목시장,118,46,104,51,HL
2019_1,새마을시장,105,53,104,51,HH
2019_1,석촌시장,113,51,104,51,HL
2019_1,방이시장,103,51,104,51,LL
2019_1,마천시장,126,56,104,51,HH
2019_1,풍납시장,112,49,104,51,HL
2019_1,강남개포시장,79,51,104,51,LH
2019_1,도곡시장,117,56,104,51,HH
2019_1,청담삼익시장,135,66,104,51,HH
2019_1,논현종합시장,96,57,104,51,LH
2019_1,영동전통시장,99,49,104,51,LL
2019_1,강남시장_강남,97,57,104,51,LH
2019_1,양재시장,117,50,104,51,HL
2019_1,남부종합시장,126,50,104,51,HL
2019_1,우림시장,99,80,104,51,LH
2019_1,미성동도깨비시장,100,55,104,51,LH
2019_1,신신림시장,156,94,104,51,HH
2019_1,삼성동시장,124,68,104,51,HH
2019_1,신림중앙시장,133,50,104,51,HL
2019_1,강남골목시장,118,46,104,51,HL
2019_1,신림종합시장,85,46,104,51,LL
2019_1,관악신사시장,107,52,104,51,HH
2019_1,신원시장,112,54,104,51,HH
2019_1,인헌시장,105,53,104,51,HH
2019_1,봉천중앙시장,142,66,104,51,HH
2019_1,봉천현대시장,130,57,104,51,HH
2019_1,봉일시장,124,52,104,51,HH
2019_1,봉천제일종합시장,132,54,104,51,HH
2019_1,낙성대시장,64,49,104,51,LL
2019_1,중부시장,149,57,104,51,HH
2019_1,사당시장,132,58,104,51,HH
2019_1,남성역골목시장,115,48,104,51,HL
2019_1,남성사계시장,116,56,104,51,HH
2019_1,흑석시장,110,56,104,51,HH
2019_1,상도4동도깨비골목시장,133,55,104,51,HH
2019_1,성대시장,109,48,104,51,HL
2019_1,영도시장,195,47,104,51,HL
2019_1,상도전통시장,98,54,104,51,LH
2019_1,강남시장_동작,85,64,104,51,LH
2019_1,신노량진시장,146,62,104,51,HH
2019_1,본동인정시장,174,62,104,51,HH
2019_1,노량진중앙시장,87,57,104,51,LH
2019_1,대림중앙시장,92,55,104,51,LH
2019_1,우리시장,105,60,104,51,HH
2019_1,영진시장A동,104,79,104,51,HH
2019_1,사러가시장,166,81,104,51,HH
2019_1,대신시장,148,69,104,51,HH
2019_1,양남시장,198,105,104,51,HH
2019_1,영일시장,124,53,104,51,HH
2019_1,도림시장,114,79,104,51,HH
2019_1,영등포청과시장,128,60,104,51,HH
2019_1,영등포전통시장,109,56,104,51,HH
2019_1,은행나무시장,106,56,104,51,HH
2019_1,박미시장,114,69,104,51,HH
2019_1,현대시장,111,57,104,51,HH
2019_1,대명시장,135,81,104,51,HH
2019_1,푸른터시장,280,0,104,51,HL
2019_1,남문시장,115,49,104,51,HL
2019_1,독산동 우시장,155,84,104,51,HH
2019_1,오류시장,125,60,104,51,HH
2019_1,개봉중앙시장,136,51,104,51,HH
2019_1,고척근린시장,121,58,104,51,HH
2019_1,가리봉시장,134,59,104,51,HH
2019_1,남구로시장,118,53,104,51,HH
2019_1,구로시장,106,56,104,51,HH
2019_1,공항시장,65,59,104,51,LH
2019_1,방신전통시장,114,48,104,51,HL
2019_1,송화골목시장,111,60,104,51,HH
2019_1,까치산시장,101,53,104,51,LH
2019_1,화곡본동시장,135,55,104,51,HH
2019_1,남부골목시장,110,50,104,51,HL
2019_1,대원종합시장,137,55,104,51,HH
2019_1,화곡중앙골목시장,137,55,104,51,HH
2019_1,신월중앙시장,81,44,104,51,LL
2019_1,등마루시장,95,69,104,51,LH
2019_1,신정3동골목시장,102,54,104,51,LH
2019_1,신정2동골목시장,126,64,104,51,HH
2019_1,신정제일시장,109,55,104,51,HH
2019_1,신월7동골목시장,93,55,104,51,LH
2019_1,신월6동골목시장,139,58,104,51,HH
2019_1,신곡종합시장,139,54,104,51,HH
2019_1,신월3동골목시장,145,45,104,51,HL
2019_1,경창시장,124,47,104,51,HL
2019_1,월정로시장,94,50,104,51,LL
2019_1,신영시장,108,49,104,51,HL
2019_1,목4동시장,98,48,104,51,LL
2019_1,목3동시장,110,50,104,51,HL
2019_1,목2동시장,115,55,104,51,HH
2019_1,마포농수산물시장,106,60,104,51,HH
2019_1,동진시장,88,52,104,51,LH
2019_1,망원월드컵시장,106,53,104,51,HH
2019_1,망원시장,91,53,104,51,LH
2019_1,합정시장,61,67,104,51,LH
2019_1,영진시장,116,53,104,51,HH
2019_1,서교시장,122,38,104,51,HL
2019_1,신수시장,179,48,104,51,HL
2019_1,아현시장,124,63,104,51,HH
2019_1,마포시장,143,53,104,51,HH
2019_1,공덕시장,135,53,104,51,HH
2019_1,백련시장,111,90,104,51,HH
2019_1,모래내시장,162,117,104,51,HH
2019_1,포방터시장,97,46,104,51,LL
2019_1,인왕시장,149,88,104,51,HH
2019_1,아현가구거리상점가,117,73,104,51,HH
2019_1,영천시장,123,60,104,51,HH
2019_1,수일시장,173,82,104,51,HH
2019_1,증산종합시장,116,61,104,51,HH
2019_1,대림골목시장,109,62,104,51,HH
2019_1,신응암시장,120,70,104,51,HH
2019_1,녹번시장,120,79,104,51,HH
2019_1,대조시장,102,55,104,51,LH
2019_1,역촌중앙시장,148,46,104,51,HL
2019_1,갈현시장,78,74,104,51,LH
2019_1,연서시장,122,58,104,51,HH
2019_1,상계중앙시장,107,43,104,51,HL
2019_1,상계시장,273,123,104,51,HH
2019_1,공릉동도깨비시장,129,55,104,51,HH
2019_1,방학동도깨비시장,110,48,104,51,HL
2019_1,쌍문역골목시장,102,55,104,51,LH
2019_1,백운시장,82,55,104,51,LH
2019_1,신도봉시장,114,47,104,51,HL
2019_1,창동골목시장,108,49,104,51,HL
2019_1,창동신창시장,118,52,104,51,HH
2019_1,수유북부시장,137,42,104,51,HL
2019_1,장미원골목시장,114,59,104,51,HH
2019_1,수유중앙시장,122,45,104,51,HL
2019_1,강북종합시장,117,53,104,51,HH
2019_1,우이시장,97,54,104,51,LH
2019_1,수유전통시장,130,62,104,51,HH
2019_1,번동북부골목시장,110,51,104,51,HL
2019_1,솔샘시장,101,61,104,51,LH
2019_1,숭인시장,129,68,104,51,HH
2019_1,방천골목시장,95,47,104,51,LL
2019_1,동북시장,113,48,104,51,HL
2019_1,석관황금시장,101,48,104,51,LL
2019_1,석관시장,123,52,104,51,HH
2019_1,새석관시장,179,56,104,51,HH
2019_1,번동시장,148,66,104,51,HH
2019_1,장위전통시장,131,63,104,51,HH
2019_1,밤나무골시장,105,54,104,51,HH
2019_1,길음시장,156,66,104,51,HH
2019_1,정릉시장,127,60,104,51,HH
2019_1,정릉아리랑시장,117,59,104,51,HH
2019_1,돈암제일시장,126,62,104,51,HH
2019_1,유영시장,133,57,104,51,HH
2019_1,우림골목시장,117,53,104,51,HH
2019_1,묵1동도깨비시장,109,53,104,51,HH
2019_1,태능시장,118,50,104,51,HL
2019_1,중화제일시장,89,57,104,51,LH
2019_1,사가정시장,105,51,104,51,HL
2019_1,면목골목시장,124,50,104,51,HL
2019_1,동원시장,108,50,104,51,HL
2019_1,동부골목시장,106,53,104,51,HH
2019_1,이문제일시장,130,50,104,51,HL
2019_1,이경시장,115,47,104,51,HL
2019_1,회기시장,111,53,104,51,HH
2019_1,청량리청과물시장,110,55,104,51,HH
2019_1,전곡시장,129,54,104,51,HH
2019_1,답십리시장,105,45,104,51,HL
2019_1,동부시장,144,78,104,51,HH
2019_1,답십리현대시장,146,54,104,51,HH
2019_1,전농로터리시장,154,57,104,51,HH
2019_1,청량리종합시장,142,76,104,51,HH
2019_1,청량리전통시장,136,79,104,51,HH
2019_1,청량리농수산물시장,153,79,104,51,HH
2019_1,서울약령시장,138,64,104,51,HH
2019_1,동서시장,81,117,104,51,LH
2019_1,경동시장,181,98,104,51,HH
2019_1,청량리수산시장,120,72,104,51,HH
2019_1,용두시장,113,36,104,51,HL
2019_1,동부청과시장,279,132,104,51,HH
2019_1,구의시장,305,87,104,51,HH
2019_1,조양시장,126,60,104,51,HH
2019_1,영동교골목시장,91,53,104,51,LH
2019_1,능동로골목시장,116,49,104,51,HL
2019_1,노룬산골목시장,139,46,104,51,HL
2019_1,자양종합시장,194,28,104,51,HL
2019_1,자양골목시장,122,50,104,51,HL
2019_1,신성골목시장,164,67,104,51,HH
2019_1,면곡골목시장,102,53,104,51,LH
2019_1,중곡제일시장,117,51,104,51,HH
2019_1,화양제일골목시장,92,49,104,51,LL
2019_1,한아름시장,118,49,104,51,HL
2019_1,성동용답상가시장,111,49,104,51,HL
2019_1,뚝도시장,111,60,104,51,HH
2019_1,금남시장,128,65,104,51,HH
2019_1,행당시장,111,54,104,51,HH
2019_1,마장축산물시장,119,54,104,51,HH
2019_1,보광시장,128,79,104,51,HH
2019_1,이태원제일시장,83,49,104,51,LL
2019_1,이태원시장,141,80,104,51,HH
2019_1,이촌종합시장,130,61,104,51,HH
2019_1,용문전통시장,131,54,104,51,HH
2019_1,만리시장,137,69,104,51,HH
2019_1,신흥시장,85,67,104,51,LH
2019_1,후암시장,107,73,104,51,HH
2019_1,합동(새벽)시장,103,66,104,51,LH
2019_1,서울중앙시장,134,75,104,51,HH
2019_1,백학시장,107,54,104,51,HH
